Country,Count_in_paths,Closeness_Centrality,connections,Country_Code
French_Polynesia,17,7.297,8,PYF
Saint_Kitts_and_Nevis,6,7.65,12,KNA
Angola,36,7.66,21,AGO
Gabon,42,7.695,19,GAB
United_Arab_Emirates,163,7.73,18,ARE
Mali,49,7.73,26,MLI
Senegal,42,7.746,22,SEN
French_Guiana,32,7.785,17,GUF
Anguilla,16,7.8,14,AIA
Benin,27,7.844,24,BEN
Monaco,52,7.867,26,MCO
Guinea-Bissau,24,7.89,21,GNB
Oman,23,7.895,24,OMN
Slovakia,48,7.902,34,SVK
Togo,18,7.91,27,TGO
Martinique,18,7.918,18,MTQ
Paraguay,57,7.92,20,PRY
Saint_Vincent_and_the_Grenadines,5,7.953,17,VCT
Saint_Lucia,19,7.96,21,LCA
Mauritania,28,7.97,27,MRT
Cook_Islands,34,7.973,19,COK
Guinea,37,8.0,28,GIN
Haiti,67,8.02,25,HTI
Turkmenistan,43,8.02,32,TKM
Cayman_Islands,18,8.03,22,CYM
Tunisia,62,8.03,31,TUN
Panama,82,8.03,28,PAN
Burundi,23,8.04,33,BDI
Liberia,56,8.05,21,LBR
Turks_and_Caicos_Islands,17,8.055,22,TCA
Bahamas,0,8.06,27,BHS
Colombia,131,8.08,33,COL
Uruguay,50,8.08,25,URY
Tajikistan,26,8.1,29,TJK
Burkina_Faso,34,8.12,39,BFA
Réunion,0,8.125,24,REU
El_Salvador,35,8.13,38,SLV
Fiji,22,8.14,28,FJI
Samoa,20,8.15,25,WSM
Thailand,100,8.164,33,THA
Côte_d'Ivoire,0,8.17,44,CIV
Aruba,17,8.17,29,ABW
Guam,29,8.18,26,GUM
Cambodia,65,8.18,37,KHM
Central_African_Republic,32,8.18,36,CAF
Kuwait,82,8.18,26,KWT
Kyrgyzstan,21,8.19,40,KGZ
Malta,37,8.195,39,MLT
Hungary,119,8.195,49,HUN
Vanuatu,20,8.2,28,VUT
Solomon_Islands,42,8.2,28,SLB
Ukraine,102,8.2,58,UKR
Cocos_(Keeling)_Islands,0,8.2,24,CCK
Western_Sahara,64,8.21,34,ESH
Christmas_Island,19,8.21,36,CXR
Dominican_Republic,75,8.21,31,DOM
Luxembourg,46,8.21,38,LUX
Maldives,42,8.23,34,MDV
Bahrain,21,8.23,37,BHR
Tuvalu,17,8.23,29,TUV
Austria,247,8.23,48,AUT
Botswana,50,8.23,31,BWA
Estonia,46,8.24,42,EST
Montserrat,22,8.24,26,MSR
Ghana,60,8.25,24,GHA
Uzbekistan,39,8.25,37,UZB
Ecuador,104,8.266,42,ECU
Lithuania,45,8.27,37,LTU
Cameroon,36,8.29,32,CMR
Tonga,22,8.3,34,TON
Belarus,41,8.305,54,BLR
Costa_Rica,46,8.305,37,CRI
Guadeloupe,17,8.31,32,GLP
Equatorial_Guinea,26,8.31,37,GNQ
Pakistan,172,8.32,47,PAK
Sierra_Leone,45,8.336,39,SLE
Antigua_and_Barbuda,9,8.336,34,ATG
Lesotho,23,8.34,30,LSO
Romania,102,8.34,58,ROU
Nepal,86,8.35,37,NPL
Honduras,32,8.36,44,HND
Niger,54,8.36,44,NER
Bangladesh,57,8.37,50,BGD
Dominica,29,8.37,30,DMA
Kazakhstan,95,8.37,42,KAZ
Bhutan,28,8.37,49,BTN
Iceland,355,8.38,43,ISL
Grenada,17,8.38,34,GRD
Philippines,154,8.38,48,PHL
Greenland,174,8.39,40,GRL
Iraq,255,8.39,51,IRQ
Guatemala,58,8.4,40,GTM
Denmark,357,8.41,51,DNK
Portugal,236,8.414,52,PRT
Qatar,38,8.42,41,QAT
Belgium,188,8.43,61,BEL
Switzerland,259,8.43,45,CHE
British_Indian_Ocean_Territory,8,8.44,56,IOT
Latvia,30,8.44,78,LVA
Bermuda,51,8.46,35,BMU
Algeria,81,8.47,54,DZA
Namibia,45,8.51,43,NAM
Jordan,76,8.53,50,JOR
Canada,915,8.53,63,CAN
Myanmar,50,8.55,46,MMR
Mauritius,50,8.55,40,MUS
Zambia,67,8.555,96,ZMB
Singapore,47,8.555,62,SGP
Nicaragua,27,8.57,47,NIC
Bosnia_and_Herzegovina,41,8.57,58,BIH
Rwanda,77,8.58,124,RWA
Sri_Lanka,84,8.59,60,LKA
Jamaica,114,8.59,44,JAM
Poland,217,8.61,61,POL
Belize,28,8.61,43,BLZ
Eritrea,20,8.61,99,ERI
Cuba,199,8.62,70,CUB
Papua_New_Guinea,59,8.625,52,PNG
Suriname,25,8.64,40,SUR
Barbados,56,8.65,49,BRB
Norway,633,8.65,62,NOR
San_Marino,19,8.65,101,SMR
Zimbabwe,122,8.66,63,ZWE
Trinidad_and_Tobago,31,8.66,50,TTO
Afghanistan,158,8.66,66,AFG
Andorra,17,8.67,54,AND
Croatia,56,8.67,126,HRV
Brazil,519,8.68,79,BRA
Montenegro,32,8.68,88,MNE
Serbia,77,8.7,129,SRB
Cyprus,77,8.71,59,CYP
Morocco,102,8.71,68,MAR
Libya,101,8.71,60,LBY
Egypt,668,8.72,70,EGY
Indonesia,217,8.73,57,IDN
Peru,184,8.734,93,PER
Mexico,705,8.74,67,MEX
Sudan,121,8.75,132,SDN
Ireland,376,8.76,71,IRL
Malaysia,104,8.76,56,MYS
Puerto_Rico,93,8.766,60,PRI
Malawi,37,8.766,109,MWI
Finland,156,8.77,73,FIN
Slovenia,45,8.79,139,SVN
Chad,53,8.79,151,TCD
Nigeria,80,8.79,67,NGA
Guyana,32,8.805,57,GUY
India,1216,8.83,81,IND
Chile,117,8.836,72,CHL
Hong_Kong,124,8.84,68,HKG
Somalia,64,8.84,137,SOM
Ethiopia,165,8.85,129,ETH
Australia,991,8.87,86,AUS
France,1588,8.87,85,FRA
Mozambique,57,8.875,162,MOZ
Italy,843,8.875,85,ITA
Djibouti,21,8.89,155,DJI
Spain,549,8.89,89,ESP
Sweden,319,8.89,96,SWE
Liechtenstein,31,8.89,113,LIE
Azerbaijan,42,8.95,144,AZE
Albania,40,8.97,139,ALB
China,1110,8.97,90,CHN
South_Africa,646,8.98,101,ZAF
Greece,497,9.0,114,GRC
Yemen,49,9.01,140,YEM
Uganda,80,9.01,160,UGA
Saudi_Arabia,151,9.05,160,SAU
Japan,1070,9.055,98,JPN
Madagascar,114,9.07,151,MDG
Netherlands,460,9.12,116,NLD
New_Zealand,354,9.12,86,NZL
Kenya,269,9.18,133,KEN
Bulgaria,66,9.25,145,BGR
Armenia,27,9.3,186,ARM
Israel,291,9.305,169,ISR
Lebanon,69,9.32,192,LBN
Germany,1738,9.39,169,DEU
Argentina,214,9.53,163,ARG
